datID sessionID block trial length correctResp resp rt
226 446 0 15 99.999 5 4 12.019
227 446 0 16 99.999 3 2 6.939
228 446 0 17 99.999 4 4 1.508
229 446 0 18 99.999 6 6 1.149
230 446 0 19 99.999 3 2 3.215
231 446 0 20 99.999 3 3 0.964
232 446 0 21 99.999 6 5 2.882
233 446 0 22 99.999 1 1 1.18
234 446 0 23 99.999 7 7 1.123
235 446 0 24 99.999 2 2 2.701
236 446 0 25 99.999 1 1 0.749
237 446 0 26 99.999 2 2 2.077
238 446 0 27 99.999 1 1 0.782
239 446 0 28 99.999 3 3 1.39
240 446 0 29 99.999 1 1 1.294
241 446 0 30 99.999 5 4 3.885
242 446 0 31 99.999 4 3 2.621
243 446 0 32 99.999 2 1 1.006
244 446 0 33 99.999 5 5 3.197
245 446 0 34 99.999 3 3 2.621
246 446 0 35 99.999 3 3 0.931
247 446 0 36 99.999 5 5 2.156
248 446 0 37 99.999 1 1 0.767
249 446 0 38 99.999 6 6 1.812
250 446 0 39 99.999 4 4 5.246
251 446 0 40 99.999 6 6 1.031
252 446 0 41 99.999 1 1 0.702
253 446 0 42 99.999 3 3 4.27
254 446 0 43 99.999 3 3 1.055
255 446 0 44 99.999 2 2 2.236
256 446 0 45 99.999 4 4 4.765
257 446 0 46 99.999 7 7 1.328
258 446 0 47 99.999 6 6 0.99
259 446 0 48 99.999 7 7 0.751
260 446 0 49 99.999 5 5 6.723
261 446 0 50 99.999 2 2 3.837
262 446 0 51 99.999 6 6 4.515
263 446 0 52 99.999 7 7 0.799
264 446 0 53 99.999 2 2 5.199
265 446 0 54 99.999 2 2 0.718
266 446 0 55 99.999 6 5 3.614
267 446 0 56 99.999 4 4 3.921
268 446 0 57 99.999 5 5 1.357
269 446 0 58 99.999 6 6 0.894
270 446 0 59 99.999 5 5 1.037
271 446 0 60 99.999 7 7 0.894
272 446 0 61 99.999 2 2 8.017
273 446 0 62 99.999 7 7 1.293
274 446 0 63 99.999 1 1 1.149
275 446 0 64 99.999 5 5 3.182
276 446 0 65 99.999 1 1 1.214
277 446 0 66 99.999 1 1 0.701
278 446 0 67 99.999 2 2 7.137
279 446 0 68 99.999 7 7 1.101
280 446 0 69 99.999 7 7 0.641
281 446 1 0 99.999 1 1 4.683
282 446 1 1 99.999 5 5 4.718
283 446 1 2 99.999 4 3 4.705
284 446 1 3 99.999 6 6 1.744
285 446 1 4 99.999 7 7 0.446
286 446 1 5 99.999 3 3 2.91
287 446 1 6 99.999 1 1 0.88
288 446 1 7 99.999 5 5 3.983
289 446 1 8 99.999 2 2 2.107
290 446 1 9 99.999 4 4 4.159
291 446 1 10 99.999 2 2 2.414
292 446 1 11 99.999 2 2 0.67
293 446 1 12 99.999 4 4 1.871
294 446 1 13 99.999 7 7 1.426
295 446 1 14 99.999 4 4 3.518
296 446 1 15 99.999 2 2 1.981
297 446 1 16 99.999 2 2 0.686
298 446 1 17 99.999 3 3 1.075
299 446 1 18 99.999 6 5 2.703
300 446 1 19 99.999 5 5 0.691
301 446 1 20 99.999 3 3 2.67
302 446 1 21 99.999 4 4 1.858
303 446 1 22 99.999 4 4 1.133
304 446 1 23 99.999 7 7 1.115
305 446 1 24 99.999 4 4 8.237
306 446 1 25 99.999 6 6 1.774
307 446 1 26 99.999 3 3 1.583
308 446 1 27 99.999 6 6 4.174
309 446 1 28 99.999 3 3 2.354
310 446 1 29 99.999 1 1 0.975
311 446 1 30 99.999 7 7 1.262
312 446 1 31 99.999 2 2 1.826
313 446 1 32 99.999 5 5 3.341
314 446 1 33 99.999 2 2 1.747
315 446 1 34 99.999 1 1 0.702
316 446 1 35 99.999 2 2 3.246
317 446 1 36 99.999 5 5 3.07
318 446 1 37 99.999 2 2 1.523
319 446 1 38 99.999 2 2 0.51
320 446 1 39 99.999 1 1 0.813
321 446 1 40 99.999 3 3 1.262
