datID sessionID block trial background target forePeriod resp rt
269 361 4 6 1 5 31 0 0.085
270 361 4 7 1 17 35 1 0.259
271 361 4 8 2 16 41 1 0.407
272 361 4 9 0 15 34 1 0.218
273 361 4 10 0 4 33 0 0.235
274 361 4 11 0 17 31 1 0.271
275 361 4 12 0 17 32 1 0.264
276 361 4 13 2 4 34 0 0.223
277 361 4 14 2 8 31 1 0.198
278 361 4 15 0 5 33 1 0.174
279 361 4 16 0 12 36 1 0.44
280 361 4 17 0 11 31 0 0.235
281 361 4 18 1 9 32 0 0.261
282 361 4 19 1 4 32 0 0.351
283 361 4 20 0 10 32 0 0.356
284 361 4 21 0 17 35 1 0.232
285 361 4 22 0 16 32 1 0.226
286 361 4 23 1 0 31 0 0.333
287 361 4 24 0 12 33 0 0.227
288 361 4 25 0 13 31 1 0.185
289 361 4 26 2 14 33 1 0.388
290 361 4 27 1 8 32 1 0.408
291 361 4 28 1 4 32 0 0.17
292 361 4 29 1 6 31 0 0.231
293 361 4 30 1 7 31 0 0.306
294 361 4 31 1 0 31 0 0.298
295 361 4 32 2 18 31 1 0.33
296 361 4 33 2 8 33 1 0.224
297 361 4 34 0 8 32 0 0.154
298 361 4 35 2 13 32 1 0.511
299 361 4 36 1 9 31 1 0.304
300 361 4 37 0 5 31 0 0.168
301 361 4 38 0 2 34 0 0.228
302 361 4 39 0 14 31 1 0.271
303 361 4 40 1 6 33 0 0.231
304 361 4 41 0 4 32 1 0.177
305 361 4 42 1 1 43 0 0.099
306 361 4 43 1 12 32 1 0.37
307 361 4 44 2 7 36 0 0.26
308 361 4 45 1 20 31 1 0.254
309 361 4 46 1 11 31 1 0.328
310 361 4 47 2 2 33 0 0.27
311 361 4 48 2 3 31 0 0.28
312 361 4 49 0 7 32 0 0.496
313 361 4 50 1 5 38 0 0.333
314 361 4 51 2 15 32 1 0.324
315 361 4 52 2 6 31 0 0.235
316 361 4 53 1 11 34 1 0.34
317 361 4 54 1 16 34 1 0.457
318 361 4 55 1 20 34 1 0.314
319 361 4 56 1 18 31 1 0.322
320 361 4 57 1 14 34 1 0.328
321 361 4 58 2 13 33 1 0.446
322 361 4 59 1 18 36 1 0.319
323 361 4 60 0 12 34 1 0.372
324 361 4 61 1 8 31 0 0.378
325 361 4 62 2 12 35 0 0.43
326 361 5 0 2 10 32 0 0.343
327 361 5 1 1 15 31 1 0.254
328 361 5 2 1 19 31 0 0.296
329 361 5 3 1 15 31 1 0.241
330 361 5 4 0 19 35 1 0.146
331 361 5 5 2 6 35 0 0.364
332 361 5 6 2 13 31 0 0.449
333 361 5 7 2 2 38 0 0.32
334 361 5 8 0 10 34 1 0.262
335 361 5 9 2 17 31 1 0.479
336 361 5 10 0 7 35 1 0.239
337 361 5 11 1 20 40 1 0.324
338 361 5 12 1 1 37 0 0.264
339 361 5 13 2 0 31 0 0.338
