datID sessionID block trial stimGlobA stimGLobB weightA correctResp resp rt
212 432 2 51 23 41 0 2 2 1.912
213 432 2 52 23 41 1 5 5 5.066
214 432 2 53 23 41 0 3 3 2.601
215 432 2 54 23 41 1 6 6 4.202
216 432 2 55 23 41 1 5 5 2.037
217 432 2 56 23 41 1 6 6 1.066
218 432 2 57 23 41 1 8 8 1.187
219 432 2 58 23 41 0 4 4 3.996
220 432 2 59 23 41 0 1 2 3.218
221 432 2 60 23 41 1 8 8 1.602
222 432 2 61 23 41 1 8 7 1.975
223 432 2 62 23 41 0 4 4 3.469
224 432 2 63 23 41 0 3 3 1.165
225 432 2 64 23 41 0 1 2 9.254
226 432 2 65 23 41 0 2 2 0.766
227 432 2 66 23 41 1 6 6 1.627
228 432 2 67 23 41 0 2 2 2.061
229 432 2 68 23 41 1 8 8 1.411
230 432 2 69 23 41 0 1 3 1.576
231 432 2 70 23 41 0 1 1 0.73
232 432 2 71 23 41 1 6 6 4.088
233 432 2 72 23 41 0 3 2 2.688
234 432 2 73 23 41 1 8 8 1.197
235 432 2 74 23 41 1 8 7 1.292
236 432 2 75 23 41 0 3 1 5.352
237 432 2 76 23 41 1 7 8 2.228
238 432 2 77 23 41 0 4 4 2.142
239 432 2 78 23 41 1 6 6 2.362
240 432 2 79 23 41 0 3 3 1.838
241 433 0 0 23 41 1 5 1 8.951
242 433 0 1 23 41 0 1 1 2.17
243 433 0 2 23 41 0 2 2 1.237
244 433 0 3 23 41 1 6 6 2.592
245 433 0 4 23 41 1 6 7 4.895
246 433 0 5 23 41 1 7 6 0.526
247 433 0 6 23 41 0 2 2 4.678
248 433 0 7 23 41 1 7 5 2.769
249 433 0 8 23 41 1 5 5 2.248
250 433 0 9 23 41 0 3 3 4.301
251 433 0 10 23 41 1 8 6 3.801
252 433 0 11 23 41 1 5 4 2.268
253 433 0 12 23 41 0 3 2 2.75
254 433 0 13 23 41 0 2 2 3.368
255 433 0 14 23 41 1 6 7 6.888
256 433 0 15 23 41 0 4 2 6.699
257 433 0 16 23 41 0 1 1 0.891
258 433 0 17 23 41 0 1 2 1.518
259 433 0 18 23 41 0 3 2 0.689
260 433 0 19 23 41 0 3 2 1.343
261 433 0 20 23 41 1 5 4 6.013
262 433 0 21 23 41 0 4 4 0.661
263 433 0 22 23 41 1 5 5 0.925
264 433 0 23 23 41 1 5 5 1.151
265 433 0 24 23 41 0 4 4 0.825
266 433 0 25 23 41 1 6 8 6.718
267 433 0 26 23 41 1 6 6 0.943
268 433 0 27 23 41 1 5 7 4.543
269 433 0 28 23 41 0 4 4 1.517
270 433 0 29 23 41 0 2 1 2.344
271 433 0 30 23 41 1 5 3 4.041
272 433 0 31 23 41 1 5 5 1.588
273 433 0 32 23 41 0 3 3 4.763
274 433 0 33 23 41 1 7 7 2.329
275 433 0 34 23 41 1 5 3 5.883
276 433 0 35 23 41 1 7 6 8.033
277 433 0 36 23 41 1 6 6 1.589
278 433 0 37 23 41 1 6 6 0.668
279 433 0 38 23 41 0 1 1 4.211
280 433 0 39 23 41 0 4 4 1.622
281 433 0 40 23 41 1 7 6 2.364
282 433 0 41 23 41 0 2 1 1.626
283 433 0 42 23 41 0 1 1 0.818
284 433 0 43 23 41 1 8 8 1.54
285 433 0 44 23 41 1 5 5 3.391
286 433 0 45 23 41 1 8 7 4.285
287 433 0 46 23 41 1 8 8 0.522
288 433 0 47 23 41 1 5 5 1.997
289 433 0 48 23 41 0 4 4 2.388
290 433 0 49 23 41 0 3 3 1.42
291 433 0 50 23 41 0 3 3 0.714
292 433 0 51 23 41 1 7 7 12.884
293 433 0 52 23 41 1 7 7 1.321
294 433 0 53 23 41 1 6 6 3.611
295 433 0 54 23 41 1 7 7 3.325
296 433 0 55 23 41 0 3 2 2.148
297 433 0 56 23 41 0 3 3 1.184
298 433 0 57 23 41 1 8 8 5.285
299 433 0 58 23 41 1 8 8 0.68
300 433 0 59 23 41 0 2 2 11.364
301 433 0 60 23 41 0 2 2 0.576
