datID sessionID block trial background target forePeriod resp rt
238 375 2 37 0 7 32 1 0.237
239 375 2 38 1 5 31 0 0.307
240 375 2 39 1 5 33 1 0.263
241 375 2 40 0 4 31 1 0.178
242 375 2 41 1 7 32 1 0.143
243 375 2 42 0 0 36 0 0.122
244 375 2 43 1 5 36 0 0.169
245 375 2 44 1 4 33 1 0.051
246 375 2 45 0 2 37 0 0.109
247 375 2 46 0 3 31 1 0.15
248 375 2 47 1 5 31 1 0.238
249 375 2 48 1 0 31 0 0.084
250 375 2 49 0 6 31 1 0.096
251 375 2 50 0 1 35 0 0.112
252 375 2 51 0 6 35 0 0.088
253 375 2 52 0 7 32 1 0.122
254 375 2 53 0 2 31 0 0.144
255 375 2 54 0 5 31 1 0.077
256 375 2 55 1 4 33 0 0.075
257 375 2 56 1 0 32 0 0.099
258 375 2 57 0 4 32 1 0.066
259 375 2 58 1 4 32 0 0.093
260 375 2 59 1 1 37 0 0.13
261 375 3 0 0 0 52 0 0.219
262 375 3 1 0 6 34 1 0.039
263 375 3 2 1 6 32 1 0.164
264 375 3 3 0 6 32 1 0.181
265 375 3 4 0 4 32 0 0.336
266 375 3 5 1 2 33 0 0.093
267 375 3 6 0 5 31 1 0.505
268 375 3 7 1 3 31 0 0.061
269 375 3 8 0 1 31 0 0.059
270 375 3 9 1 4 32 1 0.027
271 375 3 10 1 7 35 0 0.044
272 375 3 11 1 1 36 0 0.111
273 375 3 12 0 7 33 1 0.006
274 375 3 13 1 3 32 0 0.054
275 375 3 14 0 4 32 1 0.079
276 375 3 15 1 1 39 0 0.073
277 375 3 16 1 7 36 1 0.461
278 375 3 17 1 6 39 1 0.362
279 375 3 18 0 5 31 1 0.349
280 375 3 19 1 3 34 0 0.048
281 375 3 20 0 4 35 1 0.018
282 375 3 21 0 1 42 0 0.02
283 375 3 22 1 3 31 0 0.094
284 375 3 23 1 2 31 1 0.118
285 375 3 24 1 0 33 0 0.142
286 375 3 25 1 1 31 0 0.147
287 375 3 26 0 1 31 1 0.204
288 375 3 27 1 1 35 0 0.133
289 375 3 28 0 6 34 1 0.176
290 375 3 29 0 0 37 0 0.094
291 375 3 30 0 5 33 1 0.131
292 375 3 31 0 4 36 1 0.223
293 375 3 32 0 2 31 0 0.224
294 375 3 33 1 6 31 0 0.161
295 375 3 34 0 7 32 1 0.097
296 375 3 35 1 5 32 0 0.174
297 375 3 36 1 6 35 0 0.135
298 375 3 37 0 6 37 1 0.09
299 375 3 38 1 5 33 0 0.095
300 375 3 39 1 1 33 0 0.144
301 375 3 40 1 7 34 1 0.142
302 375 3 41 1 4 32 0 0.064
303 375 3 42 1 2 37 0 0.078
304 375 3 43 0 1 32 0 0.069
305 375 3 44 0 0 31 1 0.114
306 375 3 45 1 6 41 0 0.251
307 375 3 46 0 4 31 1 0.193
308 375 3 47 1 4 36 0 0.117
309 375 3 48 1 5 36 1 0.317
310 375 3 49 1 2 32 0 0.107
311 375 3 50 1 2 35 0 0.091
312 375 3 51 1 3 33 0 0.093
313 375 3 52 0 5 32 1 0.104
314 375 3 53 1 5 34 0 0.127
315 375 3 54 0 1 32 0 0.351
316 375 3 55 1 2 32 0 0.093
317 375 3 56 1 0 32 0 0.1
318 375 3 57 1 7 36 1 0.169
319 375 3 58 1 2 34 0 0.141
320 375 3 59 1 1 32 0 0.147
321 375 4 0 0 5 32 1 0.181
322 375 4 1 0 7 32 0 0.307
323 375 4 2 1 7 31 1 0.547
324 375 4 3 1 2 36 0 0.064
325 375 4 4 1 3 31 0 0.098
326 375 4 5 1 0 31 0 0.099
327 375 4 6 0 3 31 1 0.177
328 375 4 7 1 6 32 0 0.127
329 375 4 8 1 5 31 0 0.115
330 375 4 9 0 4 41 1 0.119
331 375 4 10 0 4 31 1 0.206
332 375 4 11 1 1 35 0 0.059
333 375 4 12 1 7 32 1 0.136
334 375 4 13 0 5 34 1 0.142
335 375 4 14 0 4 34 1 0.19
336 375 4 15 1 6 33 0 0.066
337 375 4 16 1 6 35 0 0.061
338 375 4 17 0 6 32 1 0.197
339 375 4 18 1 1 32 0 0.154
340 375 4 19 0 1 32 0 0.197
341 375 4 20 0 4 35 1 0.185
342 375 4 21 0 1 37 1 0.062
343 375 4 22 1 1 37 0 0.071
344 375 4 23 1 0 37 0 0.11
345 375 4 24 0 2 36 1 0.128
346 375 4 25 0 3 32 1 0.134
347 375 4 26 0 5 35 1 0.194
348 375 4 27 0 3 31 1 0.208
349 375 4 28 0 1 37 0 0.33
350 375 4 29 1 2 31 0 0.852
351 375 4 30 0 5 31 1 0.252
352 375 4 31 1 6 31 1 0.335
353 375 4 32 0 3 33 1 0.334
354 375 4 33 0 5 31 1 0.254
355 375 4 34 1 0 31 0 0.096
356 375 4 35 1 5 34 0 0.154
357 375 4 36 1 5 33 0 0.092
358 375 4 37 0 5 32 1 0.116
359 375 4 38 0 3 34 1 0.221
360 375 4 39 0 2 37 0 0.205
361 375 4 40 1 3 36 0 0.302
362 375 4 41 0 1 32 1 0.162
363 375 4 42 1 1 35 0 0.126
364 375 4 43 1 3 36 0 0.163
365 375 4 44 1 5 35 1 0.157
366 375 4 45 0 4 32 0 0.113
367 375 4 46 0 2 31 1 0.229
368 375 4 47 1 6 31 1 0.271
369 375 4 48 0 6 33 1 0.178
370 375 4 49 0 6 31 1 0.223
371 375 4 50 0 4 34 1 0.171
372 375 4 51 0 0 39 0 0.106
373 375 4 52 0 5 31 1 0.1
374 375 4 53 0 6 33 1 0.154
375 375 4 54 0 3 31 1 0.095
376 375 4 55 0 5 38 0 0.056
377 375 4 56 0 0 31 0 0.098
378 375 4 57 1 2 36 0 0.112
379 375 4 58 1 5 31 0 0.139
380 375 4 59 0 4 32 1 0.059
381 375 5 0 1 4 33 0 0.164
382 375 5 1 1 4 35 1 0.112
383 375 5 2 1 4 31 1 0.083
384 375 5 3 0 1 31 0 0.144
385 375 5 4 0 7 32 1 0.16
386 375 5 5 0 0 33 0 0.241
387 375 5 6 1 0 32 0 0.159
388 375 5 7 0 6 33 1 0.124
389 375 5 8 0 1 31 0 0.146
390 375 5 9 0 6 31 1 0.095
391 375 5 10 0 2 31 0 0.161
392 375 5 11 0 6 33 1 0.146
393 375 5 12 1 0 32 0 0.191
394 375 5 13 1 6 31 1 0.139
395 375 5 14 0 0 31 1 0.338
396 375 5 15 1 7 36 0 0.222
397 375 5 16 1 4 31 1 0.657
398 375 5 17 1 2 33 0 0.348
399 375 5 18 0 2 31 1 0.211
400 375 5 19 1 0 31 0 0.178
401 375 5 20 1 3 31 0 0.113
402 375 5 21 1 4 38 0 0.151
