datID sessionID block trial stimGlobA stimGLobB weightA correctResp resp rt
271 444 0 30 23 41 1 4 5 1.149
272 444 0 31 23 41 1 7 8 0.887
273 444 0 32 23 41 1 2 2 1.016
274 444 0 33 23 41 1 6 6 1.362
275 444 0 34 23 41 1 2 3 1.175
276 444 0 35 23 41 1 4 3 0.664
277 444 0 36 23 41 1 7 7 1.379
278 444 0 37 23 41 1 2 2 0.659
279 444 0 38 23 41 1 6 6 1.858
280 444 0 39 23 41 1 1 2 1.147
281 444 0 40 23 41 1 5 4 0.832
282 444 0 41 23 41 2 8 8 1.13
283 444 0 42 23 41 1 4 5 1.427
284 444 0 43 23 41 1 5 5 0.633
285 444 0 44 23 41 1 4 4 0.552
286 444 0 45 23 41 1 6 6 1.048
287 444 0 46 23 41 1 4 4 1.248
288 444 0 47 23 41 2 8 7 1.883
289 444 0 48 23 41 1 3 2 0.726
290 444 0 49 23 41 2 8 7 1.176
291 444 0 50 23 41 1 1 2 0.88
292 444 0 51 23 41 1 1 1 0.533
293 444 0 52 23 41 1 6 7 3.572
294 444 0 53 23 41 1 6 7 0.555
295 444 0 54 23 41 1 6 6 0.717
296 444 0 55 23 41 1 6 6 0.344
297 444 0 56 23 41 1 6 6 0.321
298 444 0 57 23 41 1 2 2 4.299
299 444 0 58 23 41 2 8 8 1.366
300 444 0 59 23 41 1 4 3 1.303
301 444 0 60 23 41 1 6 5 0.818
302 444 0 61 23 41 2 8 7 0.963
303 444 0 62 23 41 1 4 5 0.95
304 444 0 63 23 41 1 5 5 0.747
305 444 0 64 23 41 1 1 2 1.099
306 444 0 65 23 41 1 6 5 2.078
307 444 0 66 23 41 1 1 2 1.033
308 444 0 67 23 41 1 3 2 0.503
309 444 0 68 23 41 1 2 2 1.349
310 444 0 69 23 41 1 7 7 1.536
311 444 0 70 23 41 1 3 2 1.351
312 444 0 71 23 41 2 8 8 1.363
313 444 0 72 23 41 1 5 4 1.588
314 444 0 73 23 41 2 8 7 1.343
315 444 0 74 23 41 1 2 3 1.159
316 444 0 75 23 41 2 8 7 1.34
317 444 0 76 23 41 1 6 3 0.592
