datID sessionID block trial flanker target resp rt
395 409 1 34 2 1 0 0.61
396 409 1 35 2 1 0 0.602
397 409 1 36 5 1 1 0.532
398 409 1 37 5 0 1 0.544
399 409 1 38 3 0 1 1.068
400 409 1 39 1 0 0 0.643
401 409 2 0 3 1 0 0.995
402 409 2 1 0 1 0 0.433
403 409 2 2 4 0 1 0.625
404 409 2 3 0 0 1 0.682
405 409 2 4 0 0 0 0.66
406 409 2 5 0 0 0 0.46
407 409 2 6 3 0 1 1.163
408 409 2 7 5 1 1 0.798
409 409 2 8 2 1 0 0.848
410 409 2 9 5 1 1 0.704
411 409 2 10 1 1 0 0.789
412 409 2 11 3 1 1 0.884
413 409 2 12 2 0 1 1.17
414 409 2 13 1 1 0 0.646
415 409 2 14 5 1 1 0.829
416 409 2 15 2 1 0 0.907
417 409 2 16 5 0 1 1.048
418 409 2 17 1 0 0 0.72
419 409 2 18 4 1 1 0.708
420 409 2 19 4 1 1 0.618
421 409 2 20 2 1 0 0.769
422 409 2 21 2 0 0 0.644
423 409 2 22 5 0 1 0.492
424 409 2 23 5 1 1 0.522
425 409 2 24 5 0 1 0.423
426 409 2 25 5 1 1 0.437
427 409 2 26 0 0 0 0.678
428 409 2 27 2 0 0 1.017
429 409 2 28 5 1 1 0.658
430 409 2 29 1 0 0 0.793
431 409 2 30 1 0 0 0.571
432 409 2 31 2 1 0 0.756
433 409 2 32 1 1 0 0.519
434 409 2 33 5 0 1 0.547
435 409 2 34 5 1 1 0.671
436 409 2 35 5 0 1 0.453
437 409 2 36 0 0 1 0.45
438 409 2 37 2 0 1 1.413
439 409 2 38 4 1 1 0.707
440 409 2 39 4 0 1 1.063
441 409 3 0 3 1 1 1.085
442 409 3 1 3 1 1 0.816
443 409 3 2 0 1 0 0.833
444 409 3 3 4 1 1 0.67
445 409 3 4 0 0 0 0.741
446 409 3 5 0 0 0 0.409
447 409 3 6 5 0 1 0.532
448 409 3 7 5 1 1 0.496
449 409 3 8 5 1 1 0.43
450 409 3 9 0 0 0 0.495
451 409 3 10 3 0 1 0.813
452 409 3 11 1 1 0 0.636
453 409 3 12 1 0 0 0.543
454 409 3 13 1 1 0 0.491
455 409 3 14 0 0 0 0.553
456 409 3 15 5 0 1 0.564
457 409 3 16 4 0 1 0.686
458 409 3 17 5 0 1 0.659
459 409 3 18 4 1 1 0.634
460 409 3 19 3 0 1 0.594
461 409 3 20 4 0 1 0.54
462 409 3 21 4 1 1 0.536
463 409 3 22 1 0 0 0.691
464 409 3 23 4 1 1 0.664
465 409 3 24 0 1 0 0.976
466 409 3 25 0 1 0 0.489
467 409 3 26 5 0 1 0.66
468 409 3 27 0 0 0 0.828
469 409 3 28 4 0 1 0.621
470 409 3 29 5 0 1 0.546
471 409 3 30 5 1 1 0.559
472 409 3 31 3 1 0 0.889
473 409 3 32 0 0 0 0.539
474 409 3 33 0 0 0 0.487
475 409 3 34 3 1 1 0.547
476 409 3 35 0 0 0 0.719
477 409 3 36 0 0 0 0.468
478 409 3 37 5 1 1 0.543
479 409 3 38 0 1 0 0.627
480 409 3 39 1 1 0 0.731
