datID sessionID block trial correctResp resp rt
402 439 2 1 3 3 0.721
403 439 2 2 7 7 2.025
404 439 2 3 8 8 0.576
405 439 2 4 3 2 1.322
406 439 2 5 1 1 0.561
407 439 2 6 1 1 0.426
408 439 2 7 7 8 1.601
409 439 2 8 2 3 2.111
410 439 2 9 3 3 0.535
411 439 2 10 3 3 0.419
412 439 2 11 8 7 2.922
413 439 2 12 8 8 0.628
414 439 2 13 1 1 0.964
415 439 2 14 7 7 1.62
416 439 2 15 8 8 0.554
417 439 2 16 3 3 1.564
418 439 2 17 5 6 1.316
419 439 2 18 4 5 1.114
420 439 2 19 5 5 0.552
421 439 2 20 2 2 1.297
422 439 2 21 5 6 1.284
423 439 2 22 6 6 0.78
424 439 2 23 6 5 0.403
425 439 2 24 7 7 1.015
426 439 2 25 1 1 0.902
427 439 2 26 2 2 1.261
428 439 2 27 5 5 5.471
429 439 2 28 5 5 0.448
430 439 2 29 5 5 0.369
431 439 2 30 4 3 2.136
432 439 2 31 4 4 0.671
433 439 2 32 1 1 1.04
434 439 2 33 3 4 0.775
435 439 2 34 1 1 0.686
436 439 2 35 2 2 0.986
437 439 2 36 6 5 1.386
438 439 2 37 7 7 3.402
439 439 2 38 5 4 1.929
440 439 2 39 5 5 0.828
441 439 2 40 8 8 1.169
442 439 2 41 1 1 0.954
443 439 2 42 5 4 4.155
444 439 2 43 5 5 0.642
445 439 2 44 2 2 2.356
446 439 2 45 7 7 1.653
447 439 2 46 7 7 0.581
448 439 2 47 6 6 0.767
449 439 2 48 5 5 0.891
450 439 2 49 1 1 1.023
451 439 2 50 6 6 2.348
452 439 2 51 8 8 0.876
453 439 2 52 8 8 0.51
454 439 2 53 8 7 0.522
455 439 2 54 2 2 2.042
456 439 2 55 3 3 2.735
457 439 2 56 1 1 0.986
458 439 2 57 2 3 0.805
459 439 2 58 4 4 1.233
460 439 2 59 3 3 1.084
461 439 2 60 5 5 1.591
462 439 2 61 6 6 0.879
463 439 2 62 5 4 0.834
464 439 2 63 3 3 1.365
465 439 2 64 4 4 0.742
466 439 2 65 7 7 1.344
467 439 2 66 8 8 1.261
468 439 2 67 6 4 1.43
469 439 2 68 8 8 1.186
470 439 2 69 3 3 2.139
471 439 2 70 1 1 1.12
472 439 2 71 3 3 1.394
473 439 2 72 2 2 0.528
474 439 2 73 6 6 1.427
475 439 2 74 2 2 2.992
476 439 2 75 8 8 1.439
477 439 2 76 1 1 0.941
478 439 2 77 3 3 1.061
479 439 2 78 3 3 0.421
480 439 2 79 6 6 2.484
